Data,N1,N2,N3,N4,N5
Extragerea #1 (04 Ianuarie 2024),3,12,19,28,37
Extragerea #2 (07 Ianuarie 2024),5,14,21,26,34
Extragerea #3 (11 Ianuarie 2024),1,10,16,23,39
Extragerea #4 (14 Ianuarie 2024),7,13,20,29,40
Extragerea #5 (18 Ianuarie 2024),9,15,22,25,32
Extragerea #6 (21 Ianuarie 2024),2,11,18,27,35
Extragerea #7 (25 Ianuarie 2024),6,17,24,30,38
Extragerea #8 (28 Ianuarie 2024),4,12,23,28,33
Extragerea #9 (01 Februarie 2024),8,14,19,31,36
Extragerea #10 (04 Februarie 2024),10,16,21,26,37
Extragerea #11 (08 Februarie 2024),1,13,22,29,39
Extragerea #12 (11 Februarie 2024),5,11,20,27,34
Extragerea #13 (15 Februarie 2024),3,15,24,30,40
Extragerea #14 (18 Februarie 2024),7,12,18,25,32
Extragerea #15 (22 Februarie 2024),9,14,21,28,35
Extragerea #16 (25 Februarie 2024),2,10,16,26,38
Extragerea #17 (29 Februarie 2024),6,17,23,29,33
Extragerea #18 (03 Martie 2024),4,13,20,27,37
Extragerea #19 (07 Martie 2024),8,15,22,30,39
Extragerea #20 (10 Martie 2024),10,11,19,25,40
Extragerea #21 (14 Martie 2024),1,14,18,28,34
Extragerea #22 (17 Martie 2024),5,12,21,26,32
Extragerea #23 (21 Martie 2024),3,16,23,29,35
Extragerea #24 (24 Martie 2024),7,10,20,27,38
Extragerea #25 (28 Martie 2024),9,13,22,30,40
Extragerea #26 (31 Martie 2024),2,15,19,25,33
Extragerea #27 (04 Aprilie 2024),6,11,18,28,37
Extragerea #28 (07 Aprilie 2024),4,14,21,26,39
Extragerea #29 (11 Aprilie 2024),8,12,24,29,34
Extragerea #30 (14 Aprilie 2024),10,17,20,27,35
Extragerea #31 (18 Aprilie 2024),1,13,23,30,38
Extragerea #32 (21 Aprilie 2024),5,15,19,25,40
Extragerea #33 (25 Aprilie 2024),3,11,22,28,32
Extragerea #34 (28 Aprilie 2024),7,14,18,26,33
Extragerea #35 (02 Mai 2024),9,12,21,29,37
Extragerea #36 (05 Mai 2024),2,10,20,27,35
Extragerea #37 (09 Mai 2024),6,13,24,30,39
Extragerea #38 (12 Mai 2024),4,15,22,25,40
Extragerea #39 (16 Mai 2024),8,11,19,28,34
Extragerea #40 (19 Mai 2024),10,14,21,26,32
Extragerea #41 (23 Mai 2024),1,12,18,27,35
Extragerea #42 (26 Mai 2024),5,13,23,29,38
Extragerea #43 (30 Mai 2024),3,15,20,30,33
Extragerea #44 (02 Iunie 2024),7,10,22,25,37
Extragerea #45 (06 Iunie 2024),9,14,19,28,39
Extragerea #46 (09 Iunie 2024),2,11,21,26,40
Extragerea #47 (13 Iunie 2024),6,12,18,27,34
Extragerea #48 (16 Iunie 2024),4,15,23,29,35
Extragerea #49 (20 Iunie 2024),8,13,20,30,38
Extragerea #50 (23 Iunie 2024),10,14,22,25,32
Extragerea #51 (27 Iunie 2024),1,11,19,28,37
Extragerea #52 (30 Iunie 2024),5,12,21,26,39
Extragerea #53 (04 Iulie 2024),3,15,24,29,34
Extragerea #54 (07 Iulie 2024),7,10,18,27,35
Extragerea #55 (11 Iulie 2024),9,13,20,30,40
Extragerea #56 (14 Iulie 2024),2,14,22,25,33
Extragerea #57 (18 Iulie 2024),6,11,19,28,38
Extragerea #58 (21 Iulie 2024),4,12,21,26,37
Extragerea #59 (25 Iulie 2024),8,15,23,29,39
Extragerea #60 (28 Iulie 2024),10,13,20,30,34
