Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Joker
1,4,30,32,39,27,7
2,9,31,24,41,39,7
3,19,1,28,43,38,11
4,33,35,18,19,30,18
5,26,28,32,35,12,11
6,27,7,32,6,38,12
7,35,19,29,7,23,14
8,12,10,7,24,44,17
9,10,1,26,7,18,7
10,33,39,45,26,24,5
11,35,13,22,37,24,8
12,15,44,39,17,33,17
13,3,44,13,36,32,7
14,2,13,39,15,43,12
15,36,35,15,11,33,2
16,9,28,36,3,20,6
17,9,5,30,40,21,5
18,45,31,10,39,25,18
19,1,19,10,11,28,11
20,25,21,34,20,9,5
21,15,37,25,10,33,17
22,2,21,16,18,28,11
23,19,2,20,28,40,4
24,36,11,40,18,24,17
25,14,6,32,33,31,7
26,11,42,35,5,28,15
27,4,21,23,17,41,8
28,39,38,35,24,30,18
29,45,15,42,14,44,18
30,39,5,22,32,29,18
31,8,28,17,4,19,16
32,17,19,1,14,18,10
33,28,40,44,45,6,13
34,39,21,41,20,33,1
35,2,34,7,42,8,17
36,10,15,22,41,32,18
37,37,20,14,13,2,18
38,37,24,45,30,43,11
39,16,1,24,5,45,3
40,1,39,17,25,26,15
41,44,26,30,11,1,14
42,41,24,1,21,2,5
43,42,22,5,34,17,17
44,9,24,8,22,37,6
45,13,26,17,7,41,7
46,41,13,42,17,36,7
47,26,6,27,5,42,6
48,21,4,31,2,37,11
49,26,11,31,19,17,14
50,33,3,5,25,24,5
51,22,7,45,18,32,14
52,27,37,9,28,10,11
53,14,44,36,20,10,5
54,23,1,18,22,32,15
55,18,8,35,14,9,3
56,34,23,12,20,28,19
57,22,23,7,34,27,20
58,34,42,35,20,29,13
59,14,35,40,28,15,10
60,39,37,2,8,38,9
61,14,35,24,32,45,16
62,35,14,7,23,19,17
63,4,19,44,17,36,1
64,5,30,42,18,22,7
65,35,12,25,33,40,18
66,22,44,30,1,32,17
67,2,18,10,43,29,5
68,19,4,38,29,32,5
69,37,8,1,11,10,12
70,41,28,30,40,37,4
71,4,38,2,8,39,11
72,26,6,27,45,30,11
73,4,11,32,8,36,2
74,3,34,14,20,41,16
75,40,24,12,38,27,20
76,20,14,15,34,40,13
77,29,32,22,33,42,19
78,41,26,17,24,6,20
79,40,12,26,28,11,11
80,22,28,1,10,17,9
81,6,3,7,4,18,15
82,40,16,36,22,44,10
83,36,37,32,25,24,18
84,9,4,42,22,44,11
85,23,10,12,36,25,11
86,4,32,33,13,23,3
87,40,8,25,10,18,5
88,29,18,31,43,36,12
